id,name,pc_class,age,sex,survived,sexcode
38,"Brown, Mrs John Murray (Caroline Lane Lamson)",1,59,female,1,1
39,"Bucknell, Mrs William Robert (Emma Eliza Ward)",1,60,female,1,1
40,"Butt, Major Archibald Willingham",1,45,male,0,0
41,"Calderhead, Mr Edward P",1,NA,male,1,0
42,"Candee, Mrs Edward (Helen Churchill Hungerford)",1,53,female,1,1
43,"Cardeza, Mrs James Warburton Martinez (Charlotte Wardle Drake)",1,58,female,1,1
44,"Cardeza, Mr Thomas Drake Martinez",1,36,male,1,0
45,"Carlsson, Mr Frans Olof",1,33,male,0,0
46,"Carrau, Mr Francisco M",1,NA,male,0,0
47,"Carrau, Mr Jose Pedro",1,NA,male,0,0
48,"Carter, Mr William Ernest",1,36,male,1,0
49,"Carter, Mrs William Ernest (Lucile Polk)",1,36,female,1,1
50,"Carter, Miss Lucile Polk",1,14,female,1,1
51,"Carter, Master William T II",1,11,male,1,0
52,"Case, Mr Howard Brown",1,49,male,0,0
53,"Cassebeer, Mrs Henry Arthur jr (Genevieve Fosdick)",1,NA,female,1,1
54,"Cavendish, Mr Tyrell William",1,36,male,0,0
55,"Cavendish, Mrs Tyrell William Julia Florence Siegel",1,NA,female,1,1
56,"Chaffee, Mr Herbert Fuller",1,46,male,0,0
57,"Chaffee, Mrs Herbert Fuller (Carrie Constance Toogood)",1,47,female,1,1
58,"Chambers, Mr Norman Campbell",1,27,male,1,0
59,"Chambers, Mrs Norman Campbell (Bertha Griggs)",1,31,female,1,1
60,"Cherry, Miss Gladys",1,NA,female,1,1
61,"Chevre, Mr Paul",1,NA,male,1,0
62,"Chibnall (Bowerman), Mrs Edith Martha",1,NA,female,1,1
63,"Chisholm, Mr Roderick Robert",1,NA,male,0,0
64,"Clark, Mr Walter Miller",1,27,male,0,0
65,"Clark, Mrs Walter Miller (Virginia McDowell)",1,26,female,1,1
66,"Clifford, Mr George Quincy",1,NA,male,0,0
67,"Colley, Mr Edward Pomeroy",1,NA,male,0,0
68,"Compton, Mrs Alexander Taylor (Mary Eliza Ingersoll)",1,64,female,1,1
69,"Compton, Mr Alexander Taylor, Jr",1,37,male,0,0
70,"Compton, Miss Sara Rebecca",1,39,female,1,1
71,"Cornell, Mrs Robert Clifford (Malvina Helen Lamson)",1,55,female,1,1
72,"Crafton, Mr John Bertram",1,NA,male,0,0
73,"Crosby, Captain Edward Gifford",1,70,male,0,0
74,"Crosby, Mrs Edward Gifford (Catherine Elizabeth Halstead)",1,69,female,1,1
75,"Crosby, Miss Harriet R",1,36,female,1,1
76,"Cumings, Mr John Bradley",1,39,male,0,0
77,"Cumings, Mrs John Bradley (Florence Briggs Thayer)",1,38,female,1,1
78,"Daly, Mr Peter Denis ",1,NA,male,1,0
79,"Daniel, Mr Robert Williams",1,27,male,1,0
80,"Davidson, Mr Thornton",1,31,male,0,0
81,"Davidson, Mrs Thornton (Orian Hays)",1,27,female,1,1
82,"de Villiers, Madame Berthe",1,NA,female,1,1
83,"Dick, Mr Albert Adrian",1,31,male,1,0
84,"Dick, Mrs Albert Adrian Vera Gillespie",1,17,female,1,1
85,"Dodge, Dr Washington",1,NA,male,1,0
86,"Dodge, Mrs Washington (Ruth Vidaver)",1,NA,female,1,1
87,"Dodge, Master Washington",1,4,male,1,0
88,"Douglas, Mrs Frederick Charles (Suzette Baxter)",1,27,female,1,1
89,"Douglas, Mr Walter Donald",1,50,male,0,0
90,"Douglas, Mrs Walter Donald (Mahala Dutton)",1,48,female,1,1
91,"Duff Gordon, Sir Cosmo Edmund",1,49,male,1,0
92,"Duff Gordon, Lady (Lucille Wallace Sutherland)",1,48,female,1,1
93,"Dulles, Mr William Crothers",1,39,male,0,0
94,"Earnshaw, Mrs Boulton (Olive Potter)",1,23,female,1,1
95,"Eustis, Miss Elizabeth Mussey",1,53,female,1,1
96,"Evans, Miss Edith Corse",1,36,female,0,1
97,"Flegenheim, Mrs Alfred (Antoinette)",1,NA,female,1,1
98,"Flynn, Mr John Irving",1,NA,male,1,0
99,"Foreman, Mr Benjamin Laventall",1,30,male,0,0
100,"Fortune, Miss Alice Elizabeth",1,24,female,1,1
101,"Fortune, Mr Charles Alexander",1,19,male,0,0
102,"Fortune, Miss Ethel Flora",1,28,female,1,1
103,"Fortune, Miss Mabel",1,23,female,1,1
104,"Fortune, Mr Mark",1,64,male,0,0
105,"Fortune, Mrs Mark (Mary McDougald)",1,60,female,1,1
106,"Franklin, Mr Thomas Parham",1,NA,male,0,0
107,"Frauenthal, Dr Henry William",1,49,male,1,0
108,"Frauenthal, Mrs Henry William (Clara Heinsheimer)",1,NA,female,1,1
109,"Frauenthal, Mr Isaac Gerald",1,44,male,1,0
110,"Frolicher, Miss Marguerite",1,22,female,1,1
111,"Frolicher-Stehli, Mr Maxmillian",1,60,male,1,0
112,"Frolicher-Stehli, Mrs Maxmillian (Margaretha Emerentia Stehli)",1,48,female,1,1
113,"Futrelle, Mr Jacques",1,37,male,0,0
114,"Futrelle, Mrs Jacques (May Peel)",1,35,female,1,1
115,"Gee, Mr Arthur H",1,47,male,0,0
116,"Gibson, Miss Dorothy",1,22,female,1,1
117,"Gibson, Mrs Leonard (Pauline C Boeson)",1,45,female,1,1
118,"Goldenberg, Mr Samuel L",1,49,male,1,0
119,"Goldenberg, Mrs Samuel L (Edwiga Grabowsko)",1,NA,female,1,1
120,"Goldschmidt, Mr George B",1,71,male,0,0
121,"Gracie, Colonel Archibald IV",1,54,male,1,0
122,"Graham, Mr George Edward",1,38,male,0,0
123,"Graham, Miss Margaret Edith",1,19,female,1,1
124,"Graham, Mrs William Thompson (Edith Junkins)",1,58,female,1,1
125,"Greenfield, Mrs Leo David (Blanche Strouse)",1,45,female,1,1
126,"Greenfield, Mr William Bertram",1,23,male,1,0
127,"Guggenheim, Mr Benjamin",1,46,male,0,0
128,"Harder, Mr George Achilles",1,25,male,1,0
129,"Harder, Mrs George Achilles (Dorothy Annan)",1,21,female,1,1
130,"Harper, Mr Henry Sleeper",1,48,male,1,0
131,"Harper, Mrs Henry Sleeper (Myna Haxtun)",1,49,female,1,1
132,"Harris, Mr Henry Birkhardt",1,45,male,0,0
133,"Harris, Mrs Henry Birkhardt (Irene Wallach)",1,36,female,1,1
134,"Hawksford, Mr Walter James",1,NA,male,1,0
135,"Hays, Mr Charles Melville",1,55,male,0,0
136,"Hays, Mrs Charles Melville (Clara Jennings Gregg)",1,52,female,1,1
137,"Hays, Miss Margaret Bechstein",1,24,female,1,1
138,"Head, Mr Christopher",1,NA,male,0,0
139,"Hilliard, Mr Herbert Henry",1,NA,male,0,0
140,"Hipkins, Mr William Edward",1,NA,male,0,0
141,"Hippach, Miss Jean Gertrude",1,16,female,1,1
142,"Hippach, Mrs Louis Albert (Ida Sophia Fischer)",1,44,female,1,1
143,"Hogeboom, Mrs John C (Anna Andrews)",1,51,female,1,1
144,"Holverson, Mr Alexander Oskar",1,42,male,0,0
145,"Holverson, Mrs Alexander Oskar (Mary Aline Towner)",1,35,female,1,1
146,"Homer, Mr Harry",1,35,male,1,0
147,"Hoyt, Mr Frederick Maxfield",1,38,male,1,0
148,"Hoyt, Mrs Frederick Maxfield (Jane Anne Forby)",1,35,female,1,1
149,"Hoyt, Mr William F",1,NA,male,0,0
150,"Isham, Miss Anne Elizabeth",1,50,female,0,1
151,"Ismay, Mr Joseph Bruce",1,49,male,1,0
152,"Jones, Mr Charles Cresson",1,46,male,0,0
153,"Julian, Mr Henry Forbes",1,NA,male,0,0
154,"Kent, Mr Edward Austin",1,58,male,0,0
155,"Kenyon, Mr Frederick R",1,41,male,0,0
156,"Kenyon, Mrs Frederick R (Marion)",1,NA,female,1,1
157,"Kimball, Mr Edwin Nelson Jr",1,42,male,1,0
158,"Kimball, Mrs Edwin Nelson Jr (Gertrude Parsons)",1,40,female,1,1
159,"Klaber, Mr Herman",1,NA,male,0,0
160,"Leader, Dr Alice Farnham",1,NA,female,1,1
161,"Lewy, Mr Ervin G",1,NA,male,0,0
162,"Lindeberg-Lind, Mr Erik Gustaf",1,42,male,0,0
163,"Lindstrom, Mrs Carl Johan (Sigrid Posse)",1,55,female,1,1
164,"Lines, Mrs Ernest H (Elizabeth Lindsey James)",1,50,female,1,1
165,"Lines, Miss Mary Conover",1,16,female,1,1
166,"Lingrey, Mr Edward",1,NA,male,0,0
167,"Long, Mr Milton Clyde",1,29,male,0,0
168,"Longley, Miss Gretchen Fiske",1,21,female,1,1
169,"Loring, Mr Joseph Holland",1,30,male,0,0
170,"Madill, Miss Georgette Alexandra",1,15,female,1,1
171,"Maguire, Mr John Edward",1,30,male,0,0
172,"Marechal, Mr Pierre",1,NA,male,1,0
173,"Marvin, Mr Daniel Warner",1,NA,male,0,0
174,"Marvin, Mrs Daniel Warner (Mary Graham Carmichael Farquarson)",1,NA,female,1,1
175,"McCaffry, Mr Thomas Francis",1,46,male,0,0
176,"McCarthy, Mr Timothy J",1,54,male,0,0
177,"McGough, Mr James R",1,36,male,1,0
178,"Meyer, Mr Edgar Joseph",1,28,male,0,0
179,"Meyer, Mrs Edgar Joseph (Leila Saks)",1,NA,female,1,1
180,"Millet, Mr Francis Davis",1,65,male,0,0
181,"Minahan, Miss Daisy E",1,33,female,1,1
182,"Minahan, Dr William Edward",1,44,male,0,0
183,"Minahan, Mrs William Edward (Lillian E Thorpe)",1,37,female,1,1
184,"Mock, Mr Philip E",1,NA,male,1,0
185,"Molson, Mr Harry Markland",1,55,male,0,0
186,"Moore, Mr Clarence Bloomfield",1,47,male,0,0
187,"Natsch, Mr Charles H",1,36,male,0,0
188,"Newell, Mr Arthur Webster",1,58,male,0,0
189,"Newell, Miss Madeleine",1,31,female,1,1
190,"Newell, Miss Marjorie",1,23,female,1,1
191,"Newsom, Miss Helen Monypeny",1,19,female,1,1
192,"Nicholson, Mr Arthur Ernest",1,64,male,0,0
193,"Omont, Mr A Fernand",1,NA,male,1,0
194,"Ostby, Mr Engelhart Cornelius",1,64,male,0,0
195,"Ostby, Miss Helen Raghnild",1,22,female,1,1
196,"Ovies y Rodriguez, Mr Servando",1,28,male,0,0
197,"Parr, Mr William Henry Marsh",1,NA,male,0,0
198,"Partner, Mr Austin",1,NA,male,0,0
199,"Payne, Mr Vivian Ponsonby",1,22,male,0,0
200,"Pears, Mr Thomas",1,NA,male,0,0
201,"Pears, Mrs Thomas (Edith)",1,NA,female,1,1
202,"Penasco, Mr Victor de Satode",1,18,male,0,0
203,"Penasco, Mrs Victor de Satode (Josefa de Soto)",1,17,female,1,1
204,"Peuchen, Major Arthur Godfrey",1,52,male,1,0
205,"Porter, Mr Walter Chamberlain",1,46,male,0,0
206,"Potter, Mrs Thomas, Jr (Lily Alexenia Wilson)",1,56,female,1,1
207,"Reuchlin, Jonkheer John George",1,NA,male,0,0
208,"Rheims, Mr George Lucien",1,NA,male,1,0
209,"Robert, Mrs Edward Scott (Elisabeth Walton McMillan)",1,43,female,1,1
210,"Roebling, Mr Washington Augustus 2nd",1,31,male,0,0
211,"Romaine, Mr Charles Hallace",1,NA,male,1,0
212,"Rood, Mr Hugh R",1,NA,male,0,0
213,"Rosenbaum (Russell), Miss Edith Louise",1,33,female,1,1
214,"Ross, Mr John Hugo",1,NA,male,0,0
215,"Rothes, the Countess of (Noel Lucy Martha Dyer-Edwardes)",1,27,female,1,1
216,"Rothschild, Mr Martin",1,55,male,0,0
217,"Rothschild, Mrs Martin (Elizabeth L Barrett)",1,54,female,1,1
218,"Rowe, Mr Alfred G",1,NA,male,0,0
219,"Ryerson, Mr Arthur Larned",1,61,male,0,0
220,"Ryerson, Mrs Arthur Larned (Emily Maria Borie)",1,48,female,1,1
221,"Ryerson, Miss Emily Borie",1,18,female,1,1
222,"Ryerson, Master John Borie",1,13,male,1,0
223,"Ryerson, Miss Susan (Suzette) Parker",1,21,female,1,1
224,"Saalfeld, Mr Adolphe",1,NA,male,1,0
225,"Salomon, Mr Abraham L",1,NA,male,1,0
226,"Schabert, Mrs Paul (Emma Mock)",1,NA,female,1,1
227,"Seward, Mr Frederic Kimber",1,34,male,1,0
228,"Shutes, Miss Elizabeth W",1,40,female,1,1
229,"Silverthorne, Mr Spencer Victor",1,36,male,1,0
230,"Silvey, Mr William Baird",1,50,male,0,0
231,"Silvey, Mrs William Baird (Alice Munger)",1,39,female,1,1
232,"Simonius-Blumer, Col Alfons",1,56,male,1,0
233,"Sloper, Mr William Thompson",1,28,male,1,0
234,"Smart, Mr John Montgomery",1,56,male,0,0
235,"Smith, Mr James Clinch",1,56,male,0,0
236,"Smith, Mr Lucien Philip",1,24,male,0,0
237,"Smith, Mrs Lucien Philip (Mary Eloise Hughes",1,18,female,1,1
238,"Smith, Mr Richard William",1,NA,male,0,0
239,"Snyder, Mr John Pillsbury",1,24,male,1,0
240,"Snyder, Mrs John Pillsbury (Nelle Stevenson)",1,23,female,1,1
241,"Spedden, Mr Frederick Oakley",1,45,male,1,0
242,"Spedden, Mrs Frederick Oakley (Margaretta Corning Stone)",1,40,female,1,1
243,"Spedden, Master Robert Douglas",1,6,male,1,0
244,"Spencer, Mr William Augustus",1,57,male,0,0
245,"Spencer, Mrs William Augustus (Marie Eugenie)",1,NA,female,1,1
246,"Staehlin, Dr Max",1,32,male,1,0
247,"Stead, Mr William Thomas",1,62,male,0,0
248,"Stengel, Mr Charles Emil Henry",1,54,male,1,0
249,"Stengel, Mrs Charles Emil Henry (Annie May Morris)",1,43,female,1,1
250,"Stephenson, Mrs Walter Bertram (Martha Eustis)",1,52,female,1,1
251,"Stewart, Mr Albert A",1,NA,male,0,0
252,"Stone, Mrs George Nelson (Martha E)",1,62,female,1,1
253,"Straus, Mr Isidor",1,67,male,0,0
254,"Straus, Mrs Isidor (Ida Blun)",1,63,female,0,1
255,"Sutton, Mr Frederick",1,61,male,0,0
256,"Swift, Mrs Frederick Joel (Margaret Welles Barron)",1,46,female,1,1
257,"Taussig, Mr Emil",1,52,male,0,0
258,"Taussig, Mrs Emil (Tillie Mandelbaum)",1,39,female,1,1
259,"Taussig, Miss Ruth",1,18,female,1,1
260,"Taylor, Mr Elmer Zebley",1,48,male,1,0
261,"Taylor, Mrs Elmer Zebley (Juliet Cummins Wright)",1,NA,female,1,1
262,"Thayer, Mr John Borland",1,49,male,0,0
263,"Thayer, Mrs John Borland (Marian Longstreth Morris)",1,39,female,1,1
264,"Thayer, Mr John Borland, jr",1,17,male,1,0
265,"Thorne, Mr George (alias of: Mr George Rosenshine)",1,46,male,0,0
266,"Thorne, Mrs Gertrude Maybelle",1,NA,female,1,1
267,"Tucker, Mr Gilbert Milligan, jr",1,31,male,1,0
268,"Uruchurtu, Mr Manuel E",1,NA,male,0,0
269,"Van Derhoef, Mr Wyckoff",1,61,male,0,0
270,"Walker, Mr William Anderson",1,47,male,0,0
271,"Warren, Mr Frank Manley",1,64,male,0,0
272,"Warren, Mrs Frank Manley (Anna S Atkinson)",1,60,female,1,1
273,"Weir, Col John",1,60,male,0,0
274,"White, Mrs J Stuart (Ella Holmes)",1,55,female,1,1
275,"White, Mr Percival Wayland",1,54,male,0,0
276,"White, Mr Richard Frasar",1,21,male,0,0
277,"Wick, Mr George Dennick",1,57,male,0,0
278,"Wick, Mrs George Dennick (Martha Hitchcock)",1,45,female,1,1
279,"Wick, Miss Mary Natalie",1,31,female,1,1
280,"Widener, Mr George Dunton",1,50,male,0,0
281,"Widener, Mrs George Dunton (Eleanor Elkins)",1,50,female,1,1
282,"Widener, Mr Harry Elkins",1,27,male,0,0
283,"Willard, Miss Constance",1,20,female,1,1
284,"Williams, Mr Charles Duane",1,51,male,0,0
285,"Williams, Mr Fletcher Lambert",1,NA,male,0,0
286,"Williams, Mr Richard Norris II",1,21,male,1,0
287,"Woolner, Mr Hugh",1,NA,male,1,0
288,"Wright, Mr George",1,NA,male,0,0
289,"Young, Miss Marie Grice",1,36,female,1,1
290,"Barber, Ms ",1,NA,female,1,1
291,"Bazzani, Ms Albina",1,NA,female,1,1
292,"Bidois, Miss Rosalie",1,NA,female,1,1
293,"Bird, Ms Ellen",1,NA,female,1,1
294,"Bissetti, Ms Amelia",1,NA,female,1,1
295,"Burns, Ms Elizabeth Margaret",1,NA,female,1,1
296,"Chaudanson, Ms         Victorine",1,NA,female,1,1
297,"Cleaver, Ms Alice",1,NA,female,1,1
298,"Daniels, Ms Sarah",1,NA,female,1,1
299,"Endres, Miss Caroline Louise",1,NA,female,1,1
300,"Farthing, Mr John",1,NA,male,0,0
301,"Fleming, Ms Margaret",1,NA,female,0,1
302,"Francatelli, Ms Laura Mabel",1,NA,female,1,1
303,"Fry, Mr Richard",1,NA,male,0,0
304,"Geiger, Miss Emily ",1,NA,female,1,1
305,"Giglio, Mr Victor",1,NA,male,0,0
306,"Harrington, Mr Charles",1,NA,male,0,0
307,"Harrison, Mr William   Henry",1,40,male,0,0
308,"Hassah, Mr Hamad",1,NA,male,0,0
309,"Icabad (Icabod), Ms",1,NA,female,1,1
310,"Keeping, Mr Edwin",1,32,male,0,0
311,"Kenchen, Ms Amelia",1,NA,female,1,1
312,"LeRoy, Miss Berthe",1,NA,female,1,1
313,"Lesneur, Mr Gustave",1,NA,male,0,0
314,"Maloney, Ms",1,NA,female,1,1
315,"Oliva, Mlle",1,NA,female,0,1
316,"Pericault, Ms",1,NA,female,1,1
317,"Ringhini, Mr Sante",1,33,male,0,0
318,"Robbins, Mr Victor",1,NA,male,0,0
319,"Segesser, Mlle Emma",1,NA,female,1,1
320,"Seredeca, Ms",1,NA,female,0,1
321,"Ward, Ms Anna",1,NA,female,0,1
322,"Wilson, Ms Helen",1,NA,female,1,1
323,"Abelson, Mr Samuel",2,30,male,0,0
324,"Abelson, Mrs Samuel (Anna)",2,28,female,1,1
325,"Andrew, Mr Edgar Samuel",2,18,male,0,0
326,"Andrew, Mr Frank",2,NA,male,0,0
327,"Angle, Mr William A",2,34,male,0,0
328,"Angle, Mrs William A (Florence)",2,32,female,1,1
329,"Ashby, Mr John",2,57,male,0,0
330,"Bailey, Mr Percy Andrew",2,18,male,0,0
331,"Baimbrigge, Mr Charles R",2,23,male,0,0
332,"Balls, Mrs Ada E Hall",2,36,female,1,1
333,"Banfield, Mr Frederick J",2,28,male,0,0
334,"Bateman, Rev Robert James",2,51,male,0,0
335,"Beane, Mr Edward",2,32,male,1,0
336,"Beane, Mrs Edward (Ethel Clarke)",2,19,female,1,1
337,"Beauchamp, Mr Henry James",2,28,male,0,0
338,"Becker, Mrs Allen Oliver (Nellie E Baumgardner)",2,36,female,1,1
339,"Becker, Miss Marion Louise",2,4,female,1,1
340,"Becker, Master Richard F",2,1,male,1,0
341,"Becker, Miss Ruth Elizabeth",2,12,female,1,1
342,"Beesley, Mr Lawrence",2,34,male,1,0
343,"Bentham, Miss Lilian W",2,19,female,1,1
344,"Berriman, Mr William S",2,23,male,0,0
345,"Botsford, Mr William Hull",2,26,male,0,0
346,"Bowenur, Mr Solomon",2,NA,male,0,0
347,"Bracken, Mr James H",2,27,male,0,0
348,"Brown, Miss Edith E",2,15,female,1,1
349,"Brown, Mr Thomas William Solomon",2,45,male,0,0
350,"Brown, Mrs Thomas William Solomon (Elizabeth C)",2,40,female,1,1
351,"Bryhl, Miss Dagmar",2,20,female,1,1
352,"Bryhl, Mr Kurt Arnold Gottfrid",2,25,male,0,0
353,"Buss, Miss Kate",2,36,female,1,1
354,"Butler, Mr Reginald Fenton",2,25,male,0,0
355,"Byles, Rev Thomas Roussel D",2,NA,male,0,0
356,"Bystrom, Mrs Carolina",2,42,female,1,1
357,"Caldwell, Mr Albert Francis",2,26,male,1,0
358,"Caldwell, Mrs Albert Francis (Sylvia Mae Harbaugh)",2,26,female,1,1
359,"Caldwell, Master Alden Gates",2,0.83,male,1,0
360,"Cameron, Miss Clear",2,31,female,1,1
361,"Campbell, Mr William",2,NA,male,0,0
362,"Carbines, Mr William",2,19,male,0,0
363,"Carter, Rev Ernest Courtenay",2,54,male,0,0
364,"Carter, Mrs Ernest Courtenay (Lillian Hughes)",2,44,female,0,1
365,"Chapman, Mr Charles Henry",2,52,male,0,0
366,"Chapman, Mr John Henry",2,30,male,0,0
367,"Chapman, Mrs John Henry (Elizabeth Lawry)",2,30,female,0,1
368,"Christy, Mrs Alice Frances",2,NA,female,1,1
369,"Christy, Miss Julie",2,NA,female,1,1
370,"Clarke, Mr Charles V",2,29,male,0,0
371,"Clarke, Mrs Charles V (Ada Maria)",2,NA,female,1,1
372,"Coleridge, Mr Reginald Charles",2,29,male,0,0
373,"Collander, Mr Erik",2,27,male,0,0
374,"Collett, Mr Sidney C Stuart",2,24,male,1,0
375,"Collyer, Mr Harvey",2,35,male,0,0
376,"Collyer, Mrs Harvey (Charlotte Tate)",2,31,female,1,1
377,"Collyer, Miss Marjorie",2,8,female,1,1
378,"Cook, Mrs Selena Rogers",2,22,female,0,1
379,"Corbett, Mrs Walter H (Irene Colvin)",2,30,female,0,1
380,"Corey, Mrs Percy C (Mary Phyllis Elizabeth Miller)",2,NA,female,0,1
381,"Cotterill, Mr Harry",2,20,male,0,0
382,"Cunningham, Mr Alfred Fleming",2,NA,male,0,0
383,"Davies, Mr Charles Henry",2,21,male,0,0
384,"Davis, Mrs Agnes",2,49,female,1,1
385,"Davis, Master John Morgan",2,8,male,1,0
386,"Davis, Miss Mary",2,28,female,1,1
387,"Deacon, Mr Percy",2,18,male,0,0
388,"de Brito, Mr Jose Joaquim",2,NA,male,0,0
389,"del Carlo, Mr Sebastiano",2,28,male,0,0
390,"del Carlo, Mrs Sebastiano (Argenia Genovese)",2,22,female,1,1
391,"Denbury, Mr Herbert",2,25,male,0,0
392,"Dibden, Mr William",2,18,male,0,0
393,"Doling, Mrs Ada",2,32,female,1,1
394,"Doling, Miss Elsie",2,18,female,1,1
395,"Downton (?Douton), Mr William James",2,NA,male,0,0
396,"Drew, Mr James Vivian",2,42,male,0,0
397,"Drew, Mrs James Vivian (Lulu Thorne Christian)",2,34,female,1,1
398,"Drew, Master Marshall Brines",2,8,male,1,0
399,"Duran y More, Miss Asuncion",2,NA,female,1,1
400,"Duran y More, Miss Florentina",2,NA,female,1,1
401,"Eitemiller, Mr George Floyd",2,23,male,0,0
402,"Enander, Mr Ingvar",2,21,male,0,0
403,"Fahlstrom, Mr Arne Jonas",2,19,male,0,0
404,"Faunthorpe, Mr Harry",2,NA,male,0,0
405,"Faunthorpe, Mrs Lizzie (see Wilkinson, E)",2,NA,female,1,1
406,"Fillbrook, Mr Charles",2,NA,male,0,0
407,"Fox, Mr Stanley H",2,38,male,0,0
408,"Frost, Mr Anthony (Archie) W",2,NA,male,0,0
409,"Funk, Miss Annie C",2,38,female,0,1
410,"Fynney, Mr Joseph J",2,35,male,0,0
411,"Gale, Mr Harry",2,35,male,0,0
412,"Gale, Mr Shadrach",2,38,male,0,0
413,"Garside, Miss Ethel",2,24,female,1,1
414,"Gaskell, Mr Alfred",2,16,male,0,0
415,"Gavey, Mr Lawrence",2,26,male,0,0
416,"Gilbert, Mr William",2,45,male,0,0
417,"Giles, Mr Edgar",2,24,male,0,0
418,"Giles, Mr Frederick",2,21,male,0,0
419,"Giles, Mr Ralph",2,22,male,0,0
420,"Gill, Mr John W",2,NA,male,0,0
421,"Gillespie, Mr William",2,34,male,0,0
422,"Givard, Mr Hans Christensen",2,30,male,0,0
423,"Greenberg, Mr Samuel",2,50,male,0,0
424,"Hale, Mr Reginald",2,30,male,0,0
425,"Hamalainen, Mrs William (Anna)",2,23,female,1,1
426,"Hamalainen, Master Viljo",2,1,male,1,0
427,"Harbeck, Mr William H",2,44,male,0,0
428,"Harper, Rev John",2,28,male,0,0
429,"Harper, Miss Nina",2,6,female,1,1
430,"Harris, Mr George",2,30,male,1,0
431,"Harris, Mr Walter",2,NA,male,0,0
432,"Hart, Mr Benjamin",2,43,male,0,0
433,"Hart, Mrs Benjamin (Esther)",2,45,female,1,1
434,"Hart, Miss Eva Miriam",2,7,female,1,1
435,"Herman, Miss Alice",2,24,female,1,1
436,"Herman, Miss Kate",2,24,female,1,1
437,"Herman, Mr Samuel",2,49,male,0,0
438,"Herman, Mrs Samuel (Jane Laver)",2,48,female,1,1
439,"Hewlett, Mrs Mary D",2,NA,female,1,1
440,"Hickman, Mr Leonard Mark",2,34,male,0,0
441,"Hickman, Mr Lewis",2,32,male,0,0
442,"Hickman, Mr Stanley George",2,21,male,0,0
443,"Hiltunen, Miss Marta",2,18,female,0,1
444,"Hocking, Mrs Elizabeth",2,53,female,1,1
445,"Hocking, Mr George",2,23,male,0,0
446,"Hocking, Miss Ellen (Nellie)",2,21,female,1,1
447,"Hocking, Mr Samuel James",2,NA,male,0,0
448,"Hodges, Mr Henry Price",2,52,male,0,0
449,"Hold, Mr Stephen",2,42,male,0,0
450,"Hold, Mrs Stephen (Annie Margaret)",2,36,female,1,1
451,"Hood, Mr Ambrose, Jr",2,21,male,0,0
452,"Hosono, Mr Masafumi",2,41,male,1,0
453,"Howard, Mr Benjamin",2,NA,male,0,0
454,"Howard, Mrs Benjamin (Ellen Truelove)",2,NA,female,0,1
455,"Hunt, Mr George Henry",2,33,male,0,0
456,"Ilett, Miss Bertha",2,17,female,1,1
457,Jacobsohn Mr Samuel,2,NA,male,0,0
458,"Jacobsohn, Mrs Sidney Samuel (Amy Frances Christy)",2,NA,female,1,1
459,"Jarvis, Mr John Denzil",2,NA,male,0,0
460,"Jefferys, Mr Clifford",2,NA,male,0,0
